time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Apr-15,NSW,26 264,26264,,,,,,,,,,,,,,,,,,,,
1-Apr-15,VIC,22 160,22160,,,,,,,,,,,,,,,,,,,,
1-Apr-15,QLD,17 335,17335,,,,,,,,,,,,,,,,,,,,
1-Apr-15,SA,4 843,4843,,,,,,,,,,,,,,,,,,,,
1-Apr-15,WA,7 609,7609,,,,,,,,,,,,,,,,,,,,
1-Apr-15,TAS,1 280,1280,,,,,,,,,,,,,,,,,,,,
1-Apr-15,NT,948,948,,,,,,,,,,,,,,,,,,,,
1-Apr-15,ACT,1 217,1217,,,,,,,,,,,,,,,,,,,,
1-May-15,NSW,30 996,30996,,,,,,,,,,,,,,,,,,,,
1-May-15,VIC,25 231,25231,,,,,,,,,,,,,,,,,,,,
1-May-15,QLD,19 312,19312,,,,,,,,,,,,,,,,,,,,
1-May-15,SA,5 429,5429,,,,,,,,,,,,,,,,,,,,
1-May-15,WA,8 353,8353,,,,,,,,,,,,,,,,,,,,
1-May-15,TAS,1 440,1440,,,,,,,,,,,,,,,,,,,,
1-May-15,NT,1 144,1144,,,,,,,,,,,,,,,,,,,,
1-May-15,ACT,1 422,1422,,,,,,,,,,,,,,,,,,,,
1-Jun-15,NSW,42 105,42105,,,,,,,,,,,,,,,,,,,,
1-Jun-15,VIC,32 615,32615,,,,,,,,,,,,,,,,,,,,
1-Jun-15,QLD,27 270,27270,,,,,,,,,,,,,,,,,,,,
1-Jun-15,SA,7 286,7286,,,,,,,,,,,,,,,,,,,,
1-Jun-15,WA,11 503,11503,,,,,,,,,,,,,,,,,,,,
1-Jun-15,TAS,1 989,1989,,,,,,,,,,,,,,,,,,,,
1-Jun-15,NT,1 189,1189,,,,,,,,,,,,,,,,,,,,
1-Jun-15,ACT,1 893,1893,,,,,,,,,,,,,,,,,,,,
1-Jul-15,NSW,30 332,30332,,,,,,,,,,,,,,,,,,,,
1-Jul-15,VIC,25 902,25902,,,,,,,,,,,,,,,,,,,,
1-Jul-15,QLD,18 700,18700,,,,,,,,,,,,,,,,,,,,
1-Jul-15,SA,5 256,5256,,,,,,,,,,,,,,,,,,,,
1-Jul-15,WA,8 341,8341,,,,,,,,,,,,,,,,,,,,
1-Jul-15,TAS,1 445,1445,,,,,,,,,,,,,,,,,,,,
1-Jul-15,NT,836,836,,,,,,,,,,,,,,,,,,,,
1-Jul-15,ACT,1 496,1496,,,,,,,,,,,,,,,,,,,,
1-Aug-15,NSW,30 529,30529,,,,,,,,,,,,,,,,,,,,
1-Aug-15,VIC,24 608,24608,,,,,,,,,,,,,,,,,,,,
1-Aug-15,QLD,18 183,18183,,,,,,,,,,,,,,,,,,,,
1-Aug-15,SA,5 088,5088,,,,,,,,,,,,,,,,,,,,
1-Aug-15,WA,8 371,8371,,,,,,,,,,,,,,,,,,,,
1-Aug-15,TAS,1 710,1710,,,,,,,,,,,,,,,,,,,,
1-Aug-15,NT,767,767,,,,,,,,,,,,,,,,,,,,
1-Aug-15,ACT,1 449,1449,,,,,,,,,,,,,,,,,,,,
1-Sep-15,NSW,33 983,33983,,,,,,,,,,,,,,,,,,,,
1-Sep-15,VIC,27 675,27675,,,,,,,,,,,,,,,,,,,,
